,Make,Model,Year,MSRP,Front Wheel Size (in),Displacement,Engine Type,"Width, Max w/o mirrors (in)","Height, Overall (in)","Length, Overall (in)",Drivetrain,Passenger Capacity,Passenger Doors,Body Style,Net Horsepower,City Gas Mileage (mpg),Highway Gas Mileage (mpg)
2024 Acura MDX,Acura,MDX,2024,49850,19,35,Gas,78.7,67.1,198.4,FWD,7,4,SUV,290,19,26 
2023 Acura MDX,Acura,MDX,2023,49550,19,35,Gas,78.7,67.1,198.4,FWD,7,4,SUV,290,19,26 
2022 Acura MDX,Acura,MDX,2022,48000,19,35,Gas,78.7,67.1,198.4,FWD,7,4,SUV,290,19,26 
2020 Acura MDX,Acura,MDX,2020,56250,20,35,Gas,77.7,67.4,196.2,FWD,6,4,SUV,290,20,27 
2019 Acura MDX,Acura,MDX,2019,44300,18,35,Gas,77.7,67.4,196.2,FWD,7,4,SUV,290,20,27 
2018 Acura MDX,Acura,MDX,2018,44200,18,35,Gas,77.7,67.4,196.2,FWD,7,4,SUV,290,19,27 
2017 Acura MDX,Acura,MDX,2017,44050,18,35,Gas,77.8,67.4,196.2,FWD,7,4,SUV,290,19,27 
2016 Acura MDX,Acura,MDX,2016,43015,18,35,Gas,77.2,67.6,193.6,FWD,7,4,SUV,290,19,27 
2015 Acura MDX,Acura,MDX,2015,42765,18,35,Gas,77.2,67.6,193.6,FWD,7,4,SUV,290,20,28 
2014 Acura MDX,Acura,MDX,2014,42290,18,35,Gas,77.2,67.6,193.6,FWD,7,4,SUV,290,20,28 
2013 Acura MDX,Acura,MDX,2013,43280,18,37,Gas,78.5,68.2,191.6,AWD,7,4,SUV,300,,
2012 Acura MDX,Acura,MDX,2012,43030,18,37,Gas,78.5,68.2,191.6,AWD,7,4,SUV,300,16,21 
2011 Acura MDX,Acura,MDX,2011,42930,18,37,Gas,78.5,68.2,191.6,AWD,7,4,SUV,300,16,21 
2010 Acura MDX,Acura,MDX,2010,42230,18,37,Gas,78.5,68.2,191.6,AWD,7,4,SUV,300,16,21 
2009 Acura MDX,Acura,MDX,2009,40990,18,37,Gas,78.5,68.2,190.7,AWD,7,4,SUV,300,15,20 
2008 Acura MDX,Acura,MDX,2008,40195,18,37,Gas,78.5,68.2,190.7,4WD,7,4,SUV,300,15,20 
2023 Acura TLX,Acura,TLX,2023,40050,18,20,Gas,75.2,56.4,194.6,FWD,5,4,4dr,270,22,31 
2022 Acura TLX,Acura,TLX,2022,38900,18,20,Gas,75.2,56.4,194.6,FWD,5,4,4dr,270,22,31 
2021 Acura TLX,Acura,TLX,2021,37500,18,20,Gas,75.2,56.4,194.6,FWD,5,4,4dr,270,22,31 
2020 Acura TLX,Acura,TLX,2020,33000,17,24,Gas,73,57,190.7,FWD,5,4,4dr,200,23,33 
2019 Acura TLX,Acura,TLX,2019,33000,17,24,Gas,73,57,191.7,FWD,5,4,4dr,200,23,33 
2018 Acura TLX,Acura,TLX,2018,33000,17,24,Gas,73,57,191.7,FWD,5,4,4dr,200,23,33 
2017 Acura TLX,Acura,TLX,2017,32000,17,24,Gas,73,57,190.3,FWD,5,4,4dr,200,24,35 
2016 Acura TLX,Acura,TLX,2016,31695,17,24,Gas,73,57,190.3,FWD,5,4,4dr,200,24,35 
2015 Acura TLX,Acura,TLX,2015,31445,17,24,Gas,73,57,190.3,FWD,5,4,4dr,200,24,35 
2024 Acura Integra,Acura,Integra,2024,31500,17,15,Gas,72,55.5,185.8,FWD,5,4,4dr,200,30,37 
2023 Acura Integra,Acura,Integra,2023,31300,17,15,Gas,72,55.5,185.8,FWD,5,4,4dr,200,30,37 
2024 Acura RDX,Acura,RDX,2024,44050,19,20,Gas,74.8,65.7,187.4,AWD,5,4,SUV,270,,
2023 Acura RDX,Acura,RDX,2023,41750,19,20,Gas,74.8,65.7,187.4,FWD,5,4,SUV,270,22,28 
2022 Acura RDX,Acura,RDX,2022,40600,19,20,Gas,74.8,65.7,187.4,FWD,5,4,SUV,270,22,28 
2021 Acura RDX,Acura,RDX,2021,38400,19,20,Gas,74.8,65.7,186.7,FWD,5,4,SUV,270,22,28 
2020 Acura RDX,Acura,RDX,2020,37800,19,20,Gas,74.8,65.7,186.7,FWD,5,4,SUV,270,22,28 
2019 Acura RDX,Acura,RDX,2019,39400,19,20,Gas,74.8,65.7,186.8,AWD,5,4,SUV,270,21,27 
2018 Acura RDX,Acura,RDX,2018,37500,18,35,Gas,73.7,65,184.4,AWD,5,4,SUV,270,19,27 
2017 Acura RDX,Acura,RDX,2017,37170,18,35,Gas,73.7,65,184.4,AWD,5,4,SUV,270,19,27 
2016 Acura RDX,Acura,RDX,2016,36870,18,35,Gas,73.7,65,184.4,AWD,5,4,SUV,270,19,28 
2015 Acura RDX,Acura,RDX,2015,36495,18,35,Gas,73.7,66.1,183.5,AWD,5,4,SUV,270,19,27 
2014 Acura RDX,Acura,RDX,2014,35920,18,35,Gas,73.7,66.1,183.5,AWD,5,4,SUV,270,19,27 
2013 Acura RDX,Acura,RDX,2013,35720,18,35,Gas,73.7,66.1,183.5,AWD,5,4,SUV,270,19,27 
2012 Acura RDX,Acura,RDX,2012,34895,18,23,Gas,73.6,65.2,182.5,AWD,5,4,SUV,240,17,22 
2011 Acura RDX,Acura,RDX,2011,34895,18,23,Gas,73.6,65.1,180.7,AWD,5,4,SUV,240,17,22 
2010 Acura RDX,Acura,RDX,2010,34520,18,23,Gas,73.6,65.1,180.7,AWD,5,4,SUV,240,17,22 
2009 Acura RDX,Acura,RDX,2009,33895,18,23,Gas,73.6,65.2,180.7,AWD,5,4,SUV,240,17,22 
2008 Acura RDX,Acura,RDX,2008,33195,18,23,Gas,73.6,65.2,180.7,4WD,5,4,SUV,240,17,22 
2013 Acura ZDX,Acura,ZDX,2013,50920,19,37,Gas,78.5,62.8,192.4,AWD,5,4,SUV,300,16,23 
2010 Acura ZDX,Acura,ZDX,2010,45495,19,37,Gas,78.5,62.8,192.4,AWD,5,4,SUV,300,16,23 
2024 Alfa Romeo Tonale,Alfa Romeo,Tonale,2024,42995,18,13,Gas/Electric,72.4,63.2,178.3,AWD,5,4,SUV,280,,
2024 Alfa Romeo Giulia,Alfa Romeo,Giulia,2024,45075,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
2023 Alfa Romeo Giulia,Alfa Romeo,Giulia,2023,46280,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
2022 Alfa Romeo Giulia,Alfa Romeo,Giulia,2022,45350,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
2021 Alfa Romeo Giulia,Alfa Romeo,Giulia,2021,42350,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
2020 Alfa Romeo Giulia,Alfa Romeo,Giulia,2020,41400,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
2019 Alfa Romeo Giulia,Alfa Romeo,Giulia,2019,40545,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
2018 Alfa Romeo Giulia,Alfa Romeo,Giulia,2018,40195,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
2017 Alfa Romeo Giulia,Alfa Romeo,Giulia,2017,39995,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
2024 Alfa Romeo Stelvio,Alfa Romeo,Stelvio,2024,50325,21,20,Gas,74.9,66,184.6,AWD,5,4,SUV,280,22,28 
2023 Alfa Romeo Stelvio,Alfa Romeo,Stelvio,2023,51525,21,20,Gas,74.9,66,184.6,AWD,5,4,SUV,280,22,28 
2022 Alfa Romeo Stelvio,Alfa Romeo,Stelvio,2022,84650,20,29,Gas,77,66.3,185.1,AWD,5,4,SUV,500,17,23 
2021 Alfa Romeo Stelvio,Alfa Romeo,Stelvio,2021,44350,18,20,Gas,74.9,66,184.6,AWD,5,4,SUV,280,22,28 
2020 Alfa Romeo Stelvio,Alfa Romeo,Stelvio,2020,43400,18,20,Gas,74.9,66,184.6,AWD,5,4,SUV,280,22,28 
2019 Alfa Romeo Stelvio,Alfa Romeo,Stelvio,2019,42545,18,20,Gas,74.9,66,184.6,AWD,5,4,SUV,280,22,28 
2018 Alfa Romeo Stelvio,Alfa Romeo,Stelvio,2018,41995,18,20,Gas,74.9,66,184.6,AWD,5,4,SUV,280,22,28 
2024 Audi E-Tron GT,Audi,E-Tron GT,2024,106500,20,,Electric,77.3,55.6,196.4,AWD,5,4,4dr,460,,
2023 Audi E-Tron GT,Audi,E-Tron GT,2023,104900,20,,Electric,77.3,55.6,196.4,AWD,5,4,4dr,460,,
2022 Audi E-Tron GT,Audi,E-Tron GT,2022,102400,20,,Electric,77.3,55.6,196.4,AWD,5,4,4dr,460,,
2023 Audi Q4 E-Tron,Audi,Q4 E-Tron,2023,49800,19,,Electric,73.4,64.7,180.7,RWD,5,4,SUV,200,,
2023 Audi A6,Audi,A6,2023,121900,21,40,Gas/Electric,76.8,58.6,196.7,AWD,5,4,4dr,590,14,21 
2022 Audi A6,Audi,A6,2022,116500,21,40,Gas/Electric,76.8,58.6,196.7,AWD,5,4,4dr,590,15,22 
2021 Audi A6,Audi,A6,2021,54900,19,20,Gas/Electric,74.3,57.4,194.4,AWD,5,4,4dr,240,23,31 
2020 Audi A6,Audi,A6,2020,54900,19,20,Gas/Electric,74.3,57.4,194.4,AWD,5,4,4dr,240,24,32 
2019 Audi A6,Audi,A6,2019,54100,19,20,Gas,74.3,57.4,194.4,AWD,5,4,4dr,240,24,32 
2018 Audi A6,Audi,A6,2018,49700,18,20,Gas,73.8,57.8,194.2,FWD,5,4,4dr,250,25,34 
2017 Audi A6,Audi,A6,2017,47600,18,20,Gas,73.8,57.8,194.2,FWD,5,4,4dr,250,24,34 
2016 Audi A6,Audi,A6,2016,46200,18,20,Gas,73.8,57.8,194.2,FWD,5,4,4dr,250,24,34 
2015 Audi A6,Audi,A6,2015,44800,18,20,Gas,73.8,57.8,193.9,FWD,5,4,4dr,220,25,33 
2014 Audi A6,Audi,A6,2014,43100,17,20,Gas,73.8,57.8,193.9,FWD,5,4,4dr,220,25,33 
2013 Audi A6,Audi,A6,2013,42200,17,20,Gas,73.8,57.800,193.9,FWD,5,4,4dr,210,25,33 
2012 Audi A6,Audi,A6,2012,41700,17,20,Gas,73.8,57.8,193.9,FWD,5,4,4dr,210,25,33 
2011 Audi A6,Audi,A6,2011,53310,18,30,Gas,73.0,58.2,194.2,AWD,5,4,Station Wagon,300,18,26 
2010 Audi A6,Audi,A6,2010,53310,17,30,Gas,73.0,58.2,194.2,AWD,5,4,Station Wagon,300,18,26 
2008 Audi A6,Audi,A6,2008,49000,18,32,Gas,79.2,58.2,194.2,AWD,5,4,Station Wagon,250,17,25 
2024 Audi Q7,Audi,Q7,2024,59500,19,20,Gas,77.6,68.5,199.3,AWD,7,4,SUV,260,19,25 
2023 Audi Q7,Audi,Q7,2023,59200,19,20,Gas,77.6,68.5,199.3,AWD,7,4,SUV,260,19,25 
2022 Audi Q7,Audi,Q7,2022,57500,19,20,Gas,77.6,68.5,199.3,AWD,7,4,SUV,240,20,25 
2021 Audi Q7,Audi,Q7,2021,54950,19,20,Gas,77.6,68.5,199.3,AWD,7,4,SUV,240,19,23 
2020 Audi Q7,Audi,Q7,2020,54800,19,20,Gas,77.6,68.5,199.3,AWD,7,4,SUV,240,19,23 
2019 Audi Q7,Audi,Q7,2019,53550,18,20,Gas,77.5,68.5,199.6,AWD,7,4,SUV,240,19,25 
2018 Audi Q7,Audi,Q7,2018,49900,18,20,Gas,77.5,68.5,199.6,AWD,7,4,SUV,250,19,25 
2017 Audi Q7,Audi,Q7,2017,49000,18,20,Gas,77.5,68.5,199.6,AWD,7,4,SUV,250,20,25 
2015 Audi Q7,Audi,Q7,2015,53400,19,30,Diesel,78.1,68.4,200.3,AWD,7,4,SUV,240,19,28 
2014 Audi Q7,Audi,Q7,2014,52900,19,30,Diesel,78.1,68.4,200.3,AWD,7,4,SUV,240,19,28 
2013 Audi Q7,Audi,Q7,2013,52000,19,30,Diesel,78.1,68.4,200.3,AWD,7,4,SUV,240,19,28 
2012 Audi Q7,Audi,Q7,2012,51450,19,30,Diesel,78.1,68.4,200.3,AWD,7,4,SUV,220,17,25 
2011 Audi Q7,Audi,Q7,2011,51450,19,30,Diesel,78.1,68.4,200.3,AWD,7,4,SUV,220,17,25 
2010 Audi Q7,Audi,Q7,2010,50900,19,30,Diesel,78.1,68.4,200.3,AWD,7,4,SUV,220,17,25 
2009 Audi Q7,Audi,Q7,2009,50900,18,30,Diesel,78.1,68.4,200.2,AWD,7,4,SUV,220,17,25 
2008 Audi Q7,Audi,Q7,2008,42500,18,36,Gas,78.1,68.4,200.2,AWD,5,4,SUV,280,14,19 
2023 Audi A3,Audi,A3,2023,35400,17,20,Gas/Electric,71.5,56.2,176.9,FWD,5,4,4dr,200,28,38 
2022 Audi A3,Audi,A3,2022,34800,17,20,Gas/Electric,71.5,56.2,176.9,FWD,5,4,4dr,200,29,38 
2020 Audi A3,Audi,A3,2020,33300,18,20,Gas,70.7,55.7,175.5,FWD,5,4,4dr,180,27,36 
2019 Audi A3,Audi,A3,2019,38900,17,20,Gas,70.6,55.5,174.1,FWD,4,2,Convertible,180,26,35 
2018 Audi A3,Audi,A3,2018,38350,17,20,Gas,70.7,55.5,174.1,FWD,4,2,Convertible,180,25,33 
2017 Audi A3,Audi,A3,2017,37600,17,20,Gas,70.7,55.5,174.1,FWD,4,2,Convertible,180,25,34 
2016 Audi A3,Audi,A3,2016,36600,17,18,Gas,70.7,55.5,175,FWD,4,2,Convertible,170,24,35 
2015 Audi A3,Audi,A3,2015,35600,17,18,Gas,,55.5,175,FWD,4,2,Convertible,170,24,35 
2013 Audi A3,Audi,A3,2013,27270,17,20,Gas,78.5,56.000,169.0,FWD,5,4,4dr,200,21,30 
2012 Audi A3,Audi,A3,2012,27270,17,20,Gas,78.5,56.0,169.0,FWD,5,4,4dr,200,21,30 
2011 Audi A3,Audi,A3,2011,27270,17,20,Gas,77.4,56.0,168.9,FWD,5,4,4dr,200,21,30 
2010 Audi A3,Audi,A3,2010,27270,17,20,Gas,77.4,56.0,169.0,FWD,5,4,4dr,200,21,30 
2009 Audi A3,Audi,A3,2009,28400,17,20,Gas,77.4,56.0,169.0,FWD,5,4,4dr,200,22,28 
2008 Audi A3,Audi,A3,2008,27410,17,20,Gas,77.4,56.0,168.7,FWD,5,4,4dr,200,22,29 
2024 Audi A5,Audi,A5,2024,54900,18,20,Gas/Electric,72.7,54.5,184.9,AWD,4,2,Convertible,260,,
2023 Audi A5,Audi,A5,2023,53900,18,20,Gas/Electric,72.7,54.5,184.9,AWD,4,2,Convertible,260,24,31 
2022 Audi A5,Audi,A5,2022,52200,18,20,Gas/Electric,72.7,54.5,184.9,AWD,4,2,Convertible,260,23,31 
2021 Audi A5,Audi,A5,2021,50400,18,20,Gas/Electric,72.7,54.5,184.9,AWD,4,2,Convertible,260,23,31 
2020 Audi A5,Audi,A5,2020,49900,18,20,Gas,72.7,54.5,184.9,AWD,4,2,Convertible,240,23,31 
2019 Audi A5,Audi,A5,2019,51200,18,20,Gas,72.7,54.4,184,AWD,4,2,Convertible,240,23,34 
2018 Audi A5,Audi,A5,2018,49600,18,20,Gas,72.7,54.4,184,AWD,4,2,Convertible,250,24,34 
2017 Audi A5,Audi,A5,2017,48600,18,20,Gas,73,54.4,182.1,AWD,4,2,Convertible,220,21,29 
2016 Audi A5,Audi,A5,2016,47900,18,20,Gas,73,54.4,182.1,AWD,4,2,Convertible,220,21,29 
2015 Audi A5,Audi,A5,2015,47600,18,20,Gas,73,54.4,182.1,AWD,4,2,Convertible,220,21,29 
2014 Audi A5,Audi,A5,2014,44500,18,20,Gas,73,54.4,182.1,FWD,4,2,Convertible,220,24,32 
2013 Audi A5,Audi,A5,2013,43350,18,20,Gas,73.0,54.400,182.1,FWD,4,2,Convertible,210,24,31 
2012 Audi A5,Audi,A5,2012,42600,18,20,Gas,73.0,54.4,182.1,FWD,4,2,Convertible,210,22,30 
2011 Audi A5,Audi,A5,2011,42450,18,20,Gas,73.0,54.4,182.1,FWD,4,2,Convertible,210,22,30 
2010 Audi A5,Audi,A5,2010,44100,18,20,Gas,73.0,54.4,182.1,AWD,4,2,Convertible,210,20,26 
2009 Audi A5,Audi,A5,2009,42000,18,32,Gas,73.0,54.0,182.1,AWD,4,2,2dr,260,17,26 
2008 Audi A5,Audi,A5,2008,41200,18,32,Gas,73.0,54.0,182.1,AWD,4,2,2dr,260,18,27 
2024 Audi Q5,Audi,Q5,2024,44600,18,20,Gas/Electric,74.5,65.5,184.3,AWD,5,4,SUV,200,23,29 
2023 Audi Q5,Audi,Q5,2023,44200,18,20,Gas/Electric,74.5,65.5,184.3,AWD,5,4,SUV,200,23,29 
2022 Audi Q5,Audi,Q5,2022,43300,18,20,Gas/Electric,74.5,65.5,184.3,AWD,5,4,SUV,200,23,29 
2021 Audi Q5,Audi,Q5,2021,43300,18,20,Gas/Electric,74.5,65.5,184.3,AWD,5,4,SUV,260,23,28 
2020 Audi Q5,Audi,Q5,2020,43300,18,20,Gas,74.5,65.3,183.6,AWD,5,4,SUV,240,22,28 
2019 Audi Q5,Audi,Q5,2019,42950,18,20,Gas,74.5,65.3,183.6,AWD,5,4,SUV,240,22,27 
2018 Audi Q5,Audi,Q5,2018,41500,18,20,Gas,74.5,65.3,183.6,AWD,5,4,SUV,250,23,27 
2017 Audi Q5,Audi,Q5,2017,40900,18,20,Gas,74.7,65.2,182.6,AWD,5,4,SUV,220,20,27 
2016 Audi Q5,Audi,Q5,2016,40900,18,20,Gas,74.7,65.2,182.6,AWD,5,4,SUV,220,20,27 
2015 Audi Q5,Audi,Q5,2015,39300,18,20,Gas,74.7,65.2,182.6,AWD,5,4,SUV,220,20,28 
2014 Audi Q5,Audi,Q5,2014,37300,18,20,Gas,74.7,65.2,182.6,AWD,5,4,SUV,220,20,28 
2013 Audi Q5,Audi,Q5,2013,35900,18,20,Gas,74.7,65.2,182.6,AWD,5,4,SUV,210,20,28 
2012 Audi Q5,Audi,Q5,2012,35600,18,20,Gas,74.7,65.1,182.2,AWD,5,4,SUV,210,20,27 
2011 Audi Q5,Audi,Q5,2011,35200,18,20,Gas,74.0,65.1,182.2,AWD,5,4,SUV,210,20,27 
2010 Audi Q5,Audi,Q5,2010,37350,18,32,Gas,74.0,65.1,182.2,AWD,5,4,SUV,270,18,23 
2009 Audi Q5,Audi,Q5,2009,37200,18,32,Gas,74.0,65.1,182.2,AWD,5,4,SUV,270,18,23 
2024 Audi A7,Audi,A7,2024,71200,20,30,Gas/Electric,75.1,56,195.6,AWD,5,4,4dr,330,22,30 
2023 Audi A7,Audi,A7,2023,70200,20,30,Gas/Electric,75.1,56,195.6,AWD,5,4,4dr,330,21,30 
2022 Audi A7,Audi,A7,2022,69200,20,30,Gas/Electric,75.1,56,195.6,AWD,5,4,4dr,330,21,30 
2021 Audi A7,Audi,A7,2021,69200,20,30,Gas/Electric,75.1,56,195.6,AWD,5,4,4dr,330,22,29 
2020 Audi A7,Audi,A7,2020,69000,19,30,Gas/Electric,75.1,56,195.6,AWD,5,4,4dr,330,22,29 
2019 Audi A7,Audi,A7,2019,68000,19,30,Gas/Electric,75.1,56,195.6,AWD,5,4,4dr,330,22,29 
2018 Audi A7,Audi,A7,2018,69700,19,30,Gas,75.2,55.9,196.2,AWD,5,4,4dr,340,20,29 
2017 Audi A7,Audi,A7,2017,76550,20,30,Gas,75.2,55.9,196.2,AWD,4,4,4dr,340,,
2016 Audi A7,Audi,A7,2016,68300,19,30,Gas,75.2,55.9,196.2,AWD,5,4,4dr,330,20,30 
2015 Audi A7,Audi,A7,2015,65900,19,30,Gas,75.2,55.9,195.6,AWD,5,4,4dr,310,18,28 
2014 Audi A7,Audi,A7,2014,64500,19,30,Gas,75.2,55.9,195.6,AWD,5,4,4dr,310,18,28 
2013 Audi A7,Audi,A7,2013,60100,18,30,Gas,75.2,55.900,195.6,AWD,4,4,4dr,310,18,28 
2012 Audi A7,Audi,A7,2012,59250,18,30,Gas,75.2,55.9,195.6,AWD,4,4,4dr,310,18,28 
2024 Audi A4,Audi,A4,2024,41200,17,20,Gas/Electric,72.7,56.2,187.5,AWD,5,4,4dr,200,26,35 
2023 Audi A4,Audi,A4,2023,40300,17,20,Gas/Electric,72.7,56.2,187.5,AWD,5,4,4dr,200,24,33 
2022 Audi A4,Audi,A4,2022,39900,17,20,Gas/Electric,72.7,56.2,187.5,AWD,5,4,4dr,200,26,34 
2021 Audi A4,Audi,A4,2021,39100,17,20,Gas/Electric,72.7,56.2,187.5,AWD,5,4,4dr,200,24,31 
2020 Audi A4,Audi,A4,2020,37400,17,20,Gas,72.7,56.2,187.5,FWD,5,4,4dr,180,27,35 
2019 Audi A4,Audi,A4,2019,37400,17,20,Gas,72.5,56.2,186.1,FWD,5,4,4dr,180,27,34 
2018 Audi A4,Audi,A4,2018,40500,17,20,Gas,72.5,56.2,186.1,AWD,5,4,4dr,250,24,33 
2017 Audi A4,Audi,A4,2017,37300,17,20,Gas,72.5,56.2,186.1,FWD,5,4,4dr,250,25,33 
2016 Audi A4,Audi,A4,2016,38000,17,20,Gas,71.9,56.2,185.1,AWD,5,4,4dr,220,21,30 
2015 Audi A4,Audi,A4,2015,37600,17,20,Gas,71.9,56.2,185.1,AWD,5,4,4dr,220,22,31 
2014 Audi A4,Audi,A4,2014,35900,17,20,Gas,71.9,56.2,185.1,AWD,5,4,4dr,220,20,29 
2013 Audi A4,Audi,A4,2013,34600,17,20,Gas,71.9,56.200,185.2,AWD,5,4,4dr,210,20,30 
2012 Audi A4,Audi,A4,2012,36400,17,20,Gas,71.9,56.5,185.2,AWD,5,4,Station Wagon,210,21,29 
2011 Audi A4,Audi,A4,2011,36300,17,20,Gas,71.9,56.5,185.2,AWD,5,4,Station Wagon,210,21,27 
2010 Audi A4,Audi,A4,2010,35350,17,20,Gas,71.9,56.5,185.2,AWD,5,4,Station Wagon,210,21,27 
2009 Audi A4,Audi,A4,2009,42850,- ,20,Gas,70.0,54.8,180.0,AWD,4,2,Convertible,260,21,27 
2008 Audi A4,Audi,A4,2008,41850,16,20,Gas,70.0,54.8,180.0,AWD,4,2,Convertible,200,19,27 
2024 Audi A8,Audi,A8,2024,88900,19,30,Gas/Electric,76.6,58.6,208.7,AWD,5,4,4dr,330,19,28 
2023 Audi A8,Audi,A8,2023,87800,19,30,Gas/Electric,76.6,58.6,208.7,AWD,5,4,4dr,330,19,28 
2022 Audi A8,Audi,A8,2022,86500,19,30,Gas/Electric,76.6,58.6,208.7,AWD,5,4,4dr,330,19,28 
2021 Audi A8,Audi,A8,2021,86500,19,30,Gas/Electric,76.6,58.6,208.7,AWD,5,4,4dr,330,17,26 
2020 Audi A8,Audi,A8,2020,85200,19,30,Gas/Electric,76.6,58.5,208.7,AWD,5,4,4dr,330,17,26 
2019 Audi A8,Audi,A8,2019,83800,19,30,Gas/Electric,76.6,58.5,208.7,AWD,5,4,4dr,330,19,27 
2018 Audi A8,Audi,A8,2018,82500,19,30,Gas,76.7,57.9,207.4,AWD,5,4,4dr,330,19,29 
2017 Audi A8,Audi,A8,2017,82500,19,30,Gas,76.7,57.9,207.4,AWD,5,4,4dr,330,19,29 
2016 Audi A8,Audi,A8,2016,,,,,,,,,,,,,,
2015 Audi A8,Audi,A8,2015,77400,19,30,Gas,76.7,57.5,202.2,AWD,5,4,4dr,330,19,29 
2014 Audi A8,Audi,A8,2014,75100,19,30,Gas,76.7,57.5,202.2,AWD,5,4,4dr,330,18,28 
2013 Audi A8,Audi,A8,2013,72200,19,30,Gas,76.7,57.5,202.2,AWD,5,4,4dr,330,18,28 
2012 Audi A8,Audi,A8,2012,78750,19,42,Gas,76.7,57.5,202.2,AWD,5,4,4dr,370,18,28 
2011 Audi A8,Audi,A8,2011,78050,19,42,Gas,76.7,57.5,202.2,AWD,5,4,4dr,370,17,27 
2010 Audi A8,Audi,A8,2010,74550,19,42,Gas,74.6,56.9,199.3,AWD,5,4,4dr,350,16,23 
2009 Audi A8,Audi,A8,2009,74050,18,42,Gas,74.6,56.9,199.3,AWD,5,4,4dr,350,16,23 
2008 Audi A8,Audi,A8,2008,70690,18,42,Gas,74.6,56.9,199.3,AWD,5,4,4dr,350,16,23 
2024 Audi Q3,Audi,Q3,2024,37000,18,20,Gas,72.8,62.9,176.6,AWD,5,4,SUV,180,22,29 
2023 Audi Q3,Audi,Q3,2023,36800,18,20,Gas,72.8,62.9,176.6,AWD,5,4,SUV,180,22,29 
2022 Audi Q3,Audi,Q3,2022,36400,18,20,Gas,72.8,62.9,176.6,AWD,5,4,SUV,180,23,30 
2021 Audi Q3,Audi,Q3,2021,34000,18,20,Gas,72.8,62.9,176.6,AWD,5,4,SUV,180,22,30 
2020 Audi Q3,Audi,Q3,2020,34700,18,20,Gas,72.8,62.9,176.6,AWD,5,4,SUV,220,19,27 
2019 Audi Q3,Audi,Q3,2019,34700,18,20,Gas,72.8,64.1,176.6,AWD,5,4,SUV,220,19,27 
2018 Audi Q3,Audi,Q3,2018,32900,18,20,Gas,72.1,62.5,172.8,FWD,5,4,SUV,200,20,28 
2017 Audi Q3,Audi,Q3,2017,31800,18,20,Gas,72.1,62.6,172.8,FWD,5,4,SUV,200,20,28 
2016 Audi Q3,Audi,Q3,2016,33700,18,20,Gas,72.1,62.6,172.8,FWD,5,4,SUV,200,20,29 
2015 Audi Q3,Audi,Q3,2015,32500,18,20,Gas,72.1,62.6,172.6,FWD,5,4,SUV,200,20,29 
2023 Audi R8,Audi,R8,2023,249900,20,52,Gas,76.4,48.7,174.4,RWD,2,2,2dr,600,14,21 
2022 Audi R8,Audi,R8,2022,148700,20,52,Gas,76.4,48.7,174.4,RWD,2,2,2dr,560,14,23 
2021 Audi R8,Audi,R8,2021,142700,20,52,Gas,76.4,48.7,174.4,RWD,2,2,2dr,530,14,23 
2020 Audi R8,Audi,R8,2020,195900,20,52,Gas,76.4,48.8,174.3,AWD,2,2,2dr,610,13,20 
2018 Audi R8,Audi,R8,2018,138700,19,52,Gas,76.4,48.8,174.3,RWD,2,2,2dr,530,14,25 
2017 Audi R8,Audi,R8,2017,189900,19,52,Gas,76.4,48.8,174.3,AWD,2,2,2dr,610,14,22 
2015 Audi R8,Audi,R8,2015,175100,19,52,Gas,75,49,174.6,AWD,2,2,Convertible,520,13,22 
2014 Audi R8,Audi,R8,2014,173800,19,52,Gas,75,49,174.6,AWD,2,2,Convertible,520,13,22 
2012 Audi R8,Audi,R8,2012,136800,19,42,Gas,75.0,49.0,174.4,AWD,2,2,Convertible,430,13,21 
2011 Audi R8,Audi,R8,2011,136800,19,42,Gas,75.0,49.3,174.5,AWD,2,2,Convertible,430,13,21 
2010 Audi R8,Audi,R8,2010,123300,19,42,Gas,75.0,49.3,174.5,AWD,2,2,2dr,420,13,18 
2009 Audi R8,Audi,R8,2009,123300,19,42,Gas,75.0,49.3,174.5,AWD,2,2,2dr,420,13,18 
2008 Audi R8,Audi,R8,2008,118000,18,42,Gas,75.0,49.3,174.5,AWD,2,2,2dr,420,13,20 
2023 Audi TT,Audi,TT,2023,52200,18,20,Gas,72.1,53.3,165,AWD,4,2,2dr,220,23,30 
2022 Audi TT,Audi,TT,2022,50500,18,20,Gas,72.1,53.3,165,AWD,4,2,2dr,220,23,30 
2021 Audi TT,Audi,TT,2021,49800,18,20,Gas,72.1,53.3,165,AWD,4,2,2dr,220,23,31 
2020 Audi TT,Audi,TT,2020,45500,18,20,Gas,72.1,53.3,165,AWD,4,2,2dr,220,23,31 
2019 Audi TT,Audi,TT,2019,44900,18,20,Gas,72.1,53.2,164.7,AWD,4,2,2dr,220,23,31 
